Brand,Model,Fault Code,Fault Description,Probable Cause,Solution,solution 2,solution 3,solutio 4,solution 4
Perkins,2000 Series,E1327,Coolant Level Low,Leak in hoses or radiator, expansion tank issue,Inspect hoses, pressure test, repair leak,
Perkins,2000 Series,E1328,Oil Pressure Low,Oil leak, worn oil pump, low oil level,Top oil, test/replace oil pump, inspect for leaks
Perkins,2000 Series,E1329,Oil Pressure High,Blocked oil passage, faulty pressure regulator,Flush oil galleries, replace regulator,,
Perkins,2000 Series,E1330,Oil Temperature High,Blocked oil cooler, low oil level,Clean/replace oil cooler, top oil,,
Perkins,2000 Series,E1331,Turbo Boost Low,Air hose leak, turbo wear, actuator fault,Replace hose, service turbo, calibrate actuator
Perkins,2000 Series,E1332,Turbo Overspeed,ECM miscalibration, faulty actuator,Update ECM software, reset actuator,,
Perkins,2000 Series,E1333,Air Filter Restriction,Clogged air filter,Replace air filter, inspect intake,,,
Perkins,2000 Series,E1334,Crankshaft Position Sensor Fault,Sensor damaged, wiring short,Replace sensor, check wiring harness,,
Perkins,2000 Series,E1335,Camshaft Position Sensor Fault,Loose timing, failed sensor,Reset timing, replace sensor,,
Perkins,2000 Series,E1336,Manifold Pressure Sensor Fault,Short circuit, contamination,Clean/replace sensor, test wiring,,
Perkins,2000 Series,E1337,Exhaust Temperature High,Over-fueling, blocked DPF, restricted exhaust,Check injectors, clean/replace DPF, inspect exhaust
Perkins,2000 Series,E1338,EGR Valve Fault,Carbon buildup, valve stuck,Clean or replace EGR valve,,,
Perkins,2000 Series,E1339,DPF High Soot Load,Failed regeneration, excessive idling,Perform forced regen, check sensors,,
Perkins,2000 Series,E1340,Alternator Under Voltage,Loose belt, alternator fault,Tighten belt, replace alternator,,
Perkins,2000 Series,E1341,Alternator Over Voltage,Faulty regulator,Replace regulator/alternator,,,,
Perkins,2000 Series,E1342,ECM Power Supply Fault,Loose battery cables, blown fuse,Tighten cables, replace fuse,,
Perkins,2000 Series,E1343,ECM Internal Memory Error,Corrupted ECM software,Reflash ECM with Perkins EST,,,,
Perkins,2000 Series,E1344,CAN Communication Loss - ECM to Panel,Broken CAN wiring, ECM fault,Inspect wiring, test ECM,,
Perkins,2000 Series,E1345,CAN Communication Loss - ECM to Governor,Governor module failure,Replace governor, test wiring,,,
Perkins,2000 Series,E1346,Engine Overspeed Shutdown,Fuel rack stuck, governor failure,Inspect governor, recalibrate fuel system,,
Perkins,2000 Series,E1347,Engine Underspeed,Low fuel delivery, clogged filters,Replace filters, test fuel delivery,,
Perkins,2000 Series,E1348,Low Fuel Rail Pressure,Clogged filter, weak transfer pump, air in lines,Replace filter, test pump, bleed fuel system
Perkins,2000 Series,E1349,High Fuel Rail Pressure,Injector leak, pressure relief valve stuck,Inspect injectors, replace relief valve, recalibrate ECM,
Perkins,2000 Series,E1350,Fuel Temperature High,Return fuel overheated, cooling failure,Check fuel cooler, replace lines, verify cooling circuit,
Perkins,2000 Series,E1351,Fuel Injector Fault,Open/short circuit, injector internal failure,Replace faulty injector, check harness, test ECM driver,
Perkins,2000 Series,E1352,Coolant Temperature High,Low coolant, blocked radiator, water pump failure,Top coolant, flush radiator, test/replace pump
Perkins,2000 Series,E1353,Coolant Temperature Low,Thermostat stuck open, sensor fault,Replace thermostat, test sensor,,
Perkins,2000 Series,E1354,Coolant Level Low,Leak in hoses or radiator, expansion tank issue,Inspect hoses, pressure test, repair leak,
Perkins,2000 Series,E1355,Oil Pressure Low,Oil leak, worn oil pump, low oil level,Top oil, test/replace oil pump, inspect for leaks
Perkins,2000 Series,E1356,Oil Pressure High,Blocked oil passage, faulty pressure regulator,Flush oil galleries, replace regulator,,
Perkins,2000 Series,E1357,Oil Temperature High,Blocked oil cooler, low oil level,Clean/replace oil cooler, top oil,,
Perkins,2000 Series,E1358,Turbo Boost Low,Air hose leak, turbo wear, actuator fault,Replace hose, service turbo, calibrate actuator
Perkins,2000 Series,E1359,Turbo Overspeed,ECM miscalibration, faulty actuator,Update ECM software, reset actuator,,
Perkins,2000 Series,E1360,Air Filter Restriction,Clogged air filter,Replace air filter, inspect intake,,,
Perkins,2000 Series,E1361,Crankshaft Position Sensor Fault,Sensor damaged, wiring short,Replace sensor, check wiring harness,,
Perkins,2000 Series,E1362,Camshaft Position Sensor Fault,Loose timing, failed sensor,Reset timing, replace sensor,,
Perkins,2000 Series,E1363,Manifold Pressure Sensor Fault,Short circuit, contamination,Clean/replace sensor, test wiring,,
Perkins,2000 Series,E1364,Exhaust Temperature High,Over-fueling, blocked DPF, restricted exhaust,Check injectors, clean/replace DPF, inspect exhaust
Perkins,2000 Series,E1365,EGR Valve Fault,Carbon buildup, valve stuck,Clean or replace EGR valve,,,
Perkins,2000 Series,E1366,DPF High Soot Load,Failed regeneration, excessive idling,Perform forced regen, check sensors,,
Perkins,2000 Series,E1367,Alternator Under Voltage,Loose belt, alternator fault,Tighten belt, replace alternator,,
Perkins,2000 Series,E1368,Alternator Over Voltage,Faulty regulator,Replace regulator/alternator,,,,
Perkins,2000 Series,E1369,ECM Power Supply Fault,Loose battery cables, blown fuse,Tighten cables, replace fuse,,
Perkins,2000 Series,E1370,ECM Internal Memory Error,Corrupted ECM software,Reflash ECM with Perkins EST,,,,
Perkins,2000 Series,E1371,CAN Communication Loss - ECM to Panel,Broken CAN wiring, ECM fault,Inspect wiring, test ECM,,
Perkins,2000 Series,E1372,CAN Communication Loss - ECM to Governor,Governor module failure,Replace governor, test wiring,,,
Perkins,2000 Series,E1373,Engine Overspeed Shutdown,Fuel rack stuck, governor failure,Inspect governor, recalibrate fuel system,,
Perkins,2000 Series,E1374,Engine Underspeed,Low fuel delivery, clogged filters,Replace filters, test fuel delivery,,
Perkins,2000 Series,E1375,Low Fuel Rail Pressure,Clogged filter, weak transfer pump, air in lines,Replace filter, test pump, bleed fuel system
Perkins,2000 Series,E1376,High Fuel Rail Pressure,Injector leak, pressure relief valve stuck,Inspect injectors, replace relief valve, recalibrate ECM,
Perkins,2000 Series,E1377,Fuel Temperature High,Return fuel overheated, cooling failure,Check fuel cooler, replace lines, verify cooling circuit,
Perkins,2000 Series,E1378,Fuel Injector Fault,Open/short circuit, injector internal failure,Replace faulty injector, check harness, test ECM driver,
Perkins,2000 Series,E1379,Coolant Temperature High,Low coolant, blocked radiator, water pump failure,Top coolant, flush radiator, test/replace pump
Perkins,2000 Series,E1380,Coolant Temperature Low,Thermostat stuck open, sensor fault,Replace thermostat, test sensor,,
Perkins,2000 Series,E1381,Coolant Level Low,Leak in hoses or radiator, expansion tank issue,Inspect hoses, pressure test, repair leak,
Perkins,2000 Series,E1382,Oil Pressure Low,Oil leak, worn oil pump, low oil level,Top oil, test/replace oil pump, inspect for leaks
Perkins,2000 Series,E1383,Oil Pressure High,Blocked oil passage, faulty pressure regulator,Flush oil galleries, replace regulator,,
Perkins,2000 Series,E1384,Oil Temperature High,Blocked oil cooler, low oil level,Clean/replace oil cooler, top oil,,
Perkins,2000 Series,E1385,Turbo Boost Low,Air hose leak, turbo wear, actuator fault,Replace hose, service turbo, calibrate actuator
Perkins,2000 Series,E1386,Turbo Overspeed,ECM miscalibration, faulty actuator,Update ECM software, reset actuator,,
Perkins,2000 Series,E1387,Air Filter Restriction,Clogged air filter,Replace air filter, inspect intake,,,
Perkins,2000 Series,E1388,Crankshaft Position Sensor Fault,Sensor damaged, wiring short,Replace sensor, check wiring harness,,
Perkins,2000 Series,E1389,Camshaft Position Sensor Fault,Loose timing, failed sensor,Reset timing, replace sensor,,
Perkins,2000 Series,E1390,Manifold Pressure Sensor Fault,Short circuit, contamination,Clean/replace sensor, test wiring,,
Perkins,2000 Series,E1391,Exhaust Temperature High,Over-fueling, blocked DPF, restricted exhaust,Check injectors, clean/replace DPF, inspect exhaust
Perkins,2000 Series,E1392,EGR Valve Fault,Carbon buildup, valve stuck,Clean or replace EGR valve,,,
Perkins,2000 Series,E1393,DPF High Soot Load,Failed regeneration, excessive idling,Perform forced regen, check sensors,,
Perkins,2000 Series,E1394,Alternator Under Voltage,Loose belt, alternator fault,Tighten belt, replace alternator,,
Perkins,2000 Series,E1395,Alternator Over Voltage,Faulty regulator,Replace regulator/alternator,,,,
Perkins,2000 Series,E1396,ECM Power Supply Fault,Loose battery cables, blown fuse,Tighten cables, replace fuse,,
Perkins,2000 Series,E1397,ECM Internal Memory Error,Corrupted ECM software,Reflash ECM with Perkins EST,,,,
Perkins,2000 Series,E1398,CAN Communication Loss - ECM to Panel,Broken CAN wiring, ECM fault,Inspect wiring, test ECM,,
Perkins,2000 Series,E1399,CAN Communication Loss - ECM to Governor,Governor module failure,Replace governor, test wiring,,,
Perkins,2000 Series,E1400,Engine Overspeed Shutdown,Fuel rack stuck, governor failure,Inspect governor, recalibrate fuel system,,
Perkins,4000 Series,E1401,Low Fuel Rail Pressure,Clogged filter, weak transfer pump, air in lines,Replace filter, test pump, bleed fuel system
Perkins,4000 Series,E1402,High Fuel Rail Pressure,Injector leak, pressure relief valve stuck,Inspect injectors, replace relief valve, recalibrate ECM,
Perkins,4000 Series,E1403,Fuel Temperature High,Return fuel overheated, cooling failure,Check fuel cooler, replace lines, verify cooling circuit,
Perkins,4000 Series,E1404,Fuel Injector Fault,Open/short circuit, injector internal failure,Replace faulty injector, check harness, test ECM driver,
Perkins,4000 Series,E1405,Coolant Temperature High,Low coolant, blocked radiator, water pump failure,Top coolant, flush radiator, test/replace pump
Perkins,4000 Series,E1406,Coolant Temperature Low,Thermostat stuck open, sensor fault,Replace thermostat, test sensor,,
Perkins,4000 Series,E1407,Coolant Level Low,Leak in hoses or radiator, expansion tank issue,Inspect hoses, pressure test, repair leak,
Perkins,4000 Series,E1408,Oil Pressure Low,Oil leak, worn oil pump, low oil level,Top oil, test/replace oil pump, inspect for leaks
Perkins,4000 Series,E1409,Oil Pressure High,Blocked oil passage, faulty pressure regulator,Flush oil galleries, replace regulator,,
Perkins,4000 Series,E1410,Oil Temperature High,Blocked oil cooler, low oil level,Clean/replace oil cooler, top oil,,
Perkins,4000 Series,E1411,Turbo Boost Low,Air hose leak, turbo wear, actuator fault,Replace hose, service turbo, calibrate actuator
Perkins,4000 Series,E1412,Turbo Overspeed,ECM miscalibration, faulty actuator,Update ECM software, reset actuator,,
Perkins,4000 Series,E1413,Air Filter Restriction,Clogged air filter,Replace air filter, inspect intake,,,
Perkins,4000 Series,E1414,Crankshaft Position Sensor Fault,Sensor damaged, wiring short,Replace sensor, check wiring harness,,
Perkins,4000 Series,E1415,Camshaft Position Sensor Fault,Loose timing, failed sensor,Reset timing, replace sensor,,
Perkins,4000 Series,E1416,Manifold Pressure Sensor Fault,Short circuit, contamination,Clean/replace sensor, test wiring,,
Perkins,4000 Series,E1417,Exhaust Temperature High,Over-fueling, blocked DPF, restricted exhaust,Check injectors, clean/replace DPF, inspect exhaust
Perkins,4000 Series,E1418,EGR Valve Fault,Carbon buildup, valve stuck,Clean or replace EGR valve,,,
Perkins,4000 Series,E1419,DPF High Soot Load,Failed regeneration, excessive idling,Perform forced regen, check sensors,,
Perkins,4000 Series,E1420,Alternator Under Voltage,Loose belt, alternator fault,Tighten belt, replace alternator,,
Perkins,4000 Series,E1421,Alternator Over Voltage,Faulty regulator,Replace regulator/alternator,,,,
Perkins,4000 Series,E1422,ECM Power Supply Fault,Loose battery cables, blown fuse,Tighten cables, replace fuse,,
Perkins,4000 Series,E1423,ECM Internal Memory Error,Corrupted ECM software,Reflash ECM with Perkins EST,,,,
Perkins,4000 Series,E1424,CAN Communication Loss - ECM to Panel,Broken CAN wiring, ECM fault,Inspect wiring, test ECM,,
Perkins,4000 Series,E1425,CAN Communication Loss - ECM to Governor,Governor module failure,Replace governor, test wiring,,,
Perkins,4000 Series,E1426,Engine Overspeed Shutdown,Fuel rack stuck, governor failure,Inspect governor, recalibrate fuel system,,
Perkins,4000 Series,E1427,Engine Underspeed,Low fuel delivery, clogged filters,Replace filters, test fuel delivery,,
Perkins,4000 Series,E1428,Low Fuel Rail Pressure,Clogged filter, weak transfer pump, air in lines,Replace filter, test pump, bleed fuel system
Perkins,4000 Series,E1429,High Fuel Rail Pressure,Injector leak, pressure relief valve stuck,Inspect injectors, replace relief valve, recalibrate ECM,
Perkins,4000 Series,E1430,Fuel Temperature High,Return fuel overheated, cooling failure,Check fuel cooler, replace lines, verify cooling circuit,
Perkins,4000 Series,E1431,Fuel Injector Fault,Open/short circuit, injector internal failure,Replace faulty injector, check harness, test ECM driver,
Perkins,4000 Series,E1432,Coolant Temperature High,Low coolant, blocked radiator, water pump failure,Top coolant, flush radiator, test/replace pump
Perkins,4000 Series,E1433,Coolant Temperature Low,Thermostat stuck open, sensor fault,Replace thermostat, test sensor,,
Perkins,4000 Series,E1434,Coolant Level Low,Leak in hoses or radiator, expansion tank issue,Inspect hoses, pressure test, repair leak,
Perkins,4000 Series,E1435,Oil Pressure Low,Oil leak, worn oil pump, low oil level,Top oil, test/replace oil pump, inspect for leaks
Perkins,4000 Series,E1436,Oil Pressure High,Blocked oil passage, faulty pressure regulator,Flush oil galleries, replace regulator,,
Perkins,4000 Series,E1437,Oil Temperature High,Blocked oil cooler, low oil level,Clean/replace oil cooler, top oil,,
Perkins,4000 Series,E1438,Turbo Boost Low,Air hose leak, turbo wear, actuator fault,Replace hose, service turbo, calibrate actuator
Perkins,4000 Series,E1439,Turbo Overspeed,ECM miscalibration, faulty actuator,Update ECM software, reset actuator,,
Perkins,4000 Series,E1440,Air Filter Restriction,Clogged air filter,Replace air filter, inspect intake,,,
Perkins,4000 Series,E1441,Crankshaft Position Sensor Fault,Sensor damaged, wiring short,Replace sensor, check wiring harness,,
Perkins,4000 Series,E1442,Camshaft Position Sensor Fault,Loose timing, failed sensor,Reset timing, replace sensor,,
Perkins,4000 Series,E1443,Manifold Pressure Sensor Fault,Short circuit, contamination,Clean/replace sensor, test wiring,,
Perkins,4000 Series,E1444,Exhaust Temperature High,Over-fueling, blocked DPF, restricted exhaust,Check injectors, clean/replace DPF, inspect exhaust
Perkins,4000 Series,E1445,EGR Valve Fault,Carbon buildup, valve stuck,Clean or replace EGR valve,,,
Perkins,4000 Series,E1446,DPF High Soot Load,Failed regeneration, excessive idling,Perform forced regen, check sensors,,
Perkins,4000 Series,E1447,Alternator Under Voltage,Loose belt, alternator fault,Tighten belt, replace alternator,,
Perkins,4000 Series,E1448,Alternator Over Voltage,Faulty regulator,Replace regulator/alternator,,,,
Perkins,4000 Series,E1449,ECM Power Supply Fault,Loose battery cables, blown fuse,Tighten cables, replace fuse,,
Perkins,4000 Series,E1450,ECM Internal Memory Error,Corrupted ECM software,Reflash ECM with Perkins EST,,,,
Perkins,4000 Series,E1451,CAN Communication Loss - ECM to Panel,Broken CAN wiring, ECM fault,Inspect wiring, test ECM,,
Perkins,4000 Series,E1452,CAN Communication Loss - ECM to Governor,Governor module failure,Replace governor, test wiring,,,
Perkins,4000 Series,E1453,Engine Overspeed Shutdown,Fuel rack stuck, governor failure,Inspect governor, recalibrate fuel system,,
Perkins,4000 Series,E1454,Engine Underspeed,Low fuel delivery, clogged filters,Replace filters, test fuel delivery,,
Perkins,4000 Series,E1455,Low Fuel Rail Pressure,Clogged filter, weak transfer pump, air in lines,Replace filter, test pump, bleed fuel system
Perkins,4000 Series,E1456,High Fuel Rail Pressure,Injector leak, pressure relief valve stuck,Inspect injectors, replace relief valve, recalibrate ECM,
Perkins,4000 Series,E1457,Fuel Temperature High,Return fuel overheated, cooling failure,Check fuel cooler, replace lines, verify cooling circuit,
Perkins,4000 Series,E1458,Fuel Injector Fault,Open/short circuit, injector internal failure,Replace faulty injector, check harness, test ECM driver,
Perkins,4000 Series,E1459,Coolant Temperature High,Low coolant, blocked radiator, water pump failure,Top coolant, flush radiator, test/replace pump
Perkins,4000 Series,E1460,Coolant Temperature Low,Thermostat stuck open, sensor fault,Replace thermostat, test sensor,,
Perkins,4000 Series,E1461,Coolant Level Low,Leak in hoses or radiator, expansion tank issue,Inspect hoses, pressure test, repair leak,
Perkins,4000 Series,E1462,Oil Pressure Low,Oil leak, worn oil pump, low oil level,Top oil, test/replace oil pump, inspect for leaks
Perkins,4000 Series,E1463,Oil Pressure High,Blocked oil passage, faulty pressure regulator,Flush oil galleries, replace regulator,,
Perkins,4000 Series,E1464,Oil Temperature High,Blocked oil cooler, low oil level,Clean/replace oil cooler, top oil,,
Perkins,4000 Series,E1465,Turbo Boost Low,Air hose leak, turbo wear, actuator fault,Replace hose, service turbo, calibrate actuator
Perkins,4000 Series,E1466,Turbo Overspeed,ECM miscalibration, faulty actuator,Update ECM software, reset actuator,,
Perkins,4000 Series,E1467,Air Filter Restriction,Clogged air filter,Replace air filter, inspect intake,,,
Perkins,4000 Series,E1468,Crankshaft Position Sensor Fault,Sensor damaged, wiring short,Replace sensor, check wiring harness,,
Perkins,4000 Series,E1469,Camshaft Position Sensor Fault,Loose timing, failed sensor,Reset timing, replace sensor,,
Perkins,4000 Series,E1470,Manifold Pressure Sensor Fault,Short circuit, contamination,Clean/replace sensor, test wiring,,
Perkins,4000 Series,E1471,Exhaust Temperature High,Over-fueling, blocked DPF, restricted exhaust,Check injectors, clean/replace DPF, inspect exhaust
Perkins,4000 Series,E1472,EGR Valve Fault,Carbon buildup, valve stuck,Clean or replace EGR valve,,,
Perkins,4000 Series,E1473,DPF High Soot Load,Failed regeneration, excessive idling,Perform forced regen, check sensors,,
Perkins,4000 Series,E1474,Alternator Under Voltage,Loose belt, alternator fault,Tighten belt, replace alternator,,
Perkins,4000 Series,E1475,Alternator Over Voltage,Faulty regulator,Replace regulator/alternator,,,,
Perkins,4000 Series,E1476,ECM Power Supply Fault,Loose battery cables, blown fuse,Tighten cables, replace fuse,,
Perkins,4000 Series,E1477,ECM Internal Memory Error,Corrupted ECM software,Reflash ECM with Perkins EST,,,,
Perkins,4000 Series,E1478,CAN Communication Loss - ECM to Panel,Broken CAN wiring, ECM fault,Inspect wiring, test ECM,,
Perkins,4000 Series,E1479,CAN Communication Loss - ECM to Governor,Governor module failure,Replace governor, test wiring,,,
Perkins,4000 Series,E1480,Engine Overspeed Shutdown,Fuel rack stuck, governor failure,Inspect governor, recalibrate fuel system,,
Perkins,4000 Series,E1481,Engine Underspeed,Low fuel delivery, clogged filters,Replace filters, test fuel delivery,,
Perkins,4000 Series,E1482,Low Fuel Rail Pressure,Clogged filter, weak transfer pump, air in lines,Replace filter, test pump, bleed fuel system
Perkins,4000 Series,E1483,High Fuel Rail Pressure,Injector leak, pressure relief valve stuck,Inspect injectors, replace relief valve, recalibrate ECM,
Perkins,4000 Series,E1484,Fuel Temperature High,Return fuel overheated, cooling failure,Check fuel cooler, replace lines, verify cooling circuit,
Perkins,4000 Series,E1485,Fuel Injector Fault,Open/short circuit, injector internal failure,Replace faulty injector, check harness, test ECM driver,
Perkins,4000 Series,E1486,Coolant Temperature High,Low coolant, blocked radiator, water pump failure,Top coolant, flush radiator, test/replace pump
Perkins,4000 Series,E1487,Coolant Temperature Low,Thermostat stuck open, sensor fault,Replace thermostat, test sensor,,
Perkins,4000 Series,E1488,Coolant Level Low,Leak in hoses or radiator, expansion tank issue,Inspect hoses, pressure test, repair leak,
Perkins,4000 Series,E1489,Oil Pressure Low,Oil leak, worn oil pump, low oil level,Top oil, test/replace oil pump, inspect for leaks
Perkins,4000 Series,E1490,Oil Pressure High,Blocked oil passage, faulty pressure regulator,Flush oil galleries, replace regulator,,
Perkins,4000 Series,E1491,Oil Temperature High,Blocked oil cooler, low oil level,Clean/replace oil cooler, top oil,,
Perkins,4000 Series,E1492,Turbo Boost Low,Air hose leak, turbo wear, actuator fault,Replace hose, service turbo, calibrate actuator
Perkins,4000 Series,E1493,Turbo Overspeed,ECM miscalibration, faulty actuator,Update ECM software, reset actuator,,
Perkins,4000 Series,E1494,Air Filter Restriction,Clogged air filter,Replace air filter, inspect intake,,,
Perkins,4000 Series,E1495,Crankshaft Position Sensor Fault,Sensor damaged, wiring short,Replace sensor, check wiring harness,,
Perkins,4000 Series,E1496,Camshaft Position Sensor Fault,Loose timing, failed sensor,Reset timing, replace sensor,,
Perkins,4000 Series,E1497,Manifold Pressure Sensor Fault,Short circuit, contamination,Clean/replace sensor, test wiring,,
Perkins,4000 Series,E1498,Exhaust Temperature High,Over-fueling, blocked DPF, restricted exhaust,Check injectors, clean/replace DPF, inspect exhaust
Perkins,4000 Series,E1499,EGR Valve Fault,Carbon buildup, valve stuck,Clean or replace EGR valve,,,
Perkins,4000 Series,E1500,DPF High Soot Load,Failed regeneration, excessive idling,Perform forced regen, check sensors,,
Cummins,QSB Series,E2001,Low Fuel Rail Pressure,Clogged filter, weak transfer pump, air in lines,Replace filter, test pump, bleed fuel system
Cummins,QSB Series,E2002,High Fuel Rail Pressure,Injector leak, pressure relief valve stuck,Inspect injectors, replace relief valve, recalibrate ECM,
Cummins,QSB Series,E2003,Fuel Temperature High,Return fuel overheated, cooling failure,Check fuel cooler, replace lines, verify cooling circuit,
Cummins,QSB Series,E2004,Fuel Injector Fault,Open/short circuit, injector internal failure,Replace faulty injector, check harness, test ECM driver,
Cummins,QSB Series,E2005,Coolant Temperature High,Low coolant, blocked radiator, water pump failure,Top coolant, flush radiator, test/replace pump
Cummins,QSB Series,E2006,Coolant Temperature Low,Thermostat stuck open, sensor fault,Replace thermostat, test sensor,,
Cummins,QSB Series,E2007,Coolant Level Low,Leak in hoses or radiator, expansion tank issue,Inspect hoses, pressure test, repair leak,
Cummins,QSB Series,E2008,Oil Pressure Low,Oil leak, worn oil pump, low oil level,Top oil, test/replace oil pump, inspect for leaks
Cummins,QSB Series,E2009,Oil Pressure High,Blocked oil passage, faulty pressure regulator,Flush oil galleries, replace regulator,,
Cummins,QSB Series,E2010,Oil Temperature High,Blocked oil cooler, low oil level,Clean/replace oil cooler, top oil,,
Cummins,QSB Series,E2011,Turbo Boost Low,Air hose leak, turbo wear, actuator fault,Replace hose, service turbo, calibrate actuator
Cummins,QSB Series,E2012,Turbo Overspeed,ECM miscalibration, faulty actuator,Update ECM software, reset actuator,,
Cummins,QSB Series,E2013,Air Filter Restriction,Clogged air filter,Replace air filter, inspect intake,,,
Cummins,QSB Series,E2014,Crankshaft Position Sensor Fault,Sensor damaged, wiring short,Replace sensor, check wiring harness,,
Cummins,QSB Series,E2015,Camshaft Position Sensor Fault,Loose timing, failed sensor,Reset timing, replace sensor,,
Cummins,QSB Series,E2016,Manifold Pressure Sensor Fault,Short circuit, contamination,Clean/replace sensor, test wiring,,
Cummins,QSB Series,E2017,Exhaust Temperature High,Over-fueling, blocked DPF, restricted exhaust,Check injectors, clean/replace DPF, inspect exhaust
Cummins,QSB Series,E2018,EGR Valve Fault,Carbon buildup, valve stuck,Clean or replace EGR valve,,,
Cummins,QSB Series,E2019,DPF High Soot Load,Failed regeneration, excessive idling,Perform forced regen, check sensors,,
Cummins,QSB Series,E2020,Alternator Under Voltage,Loose belt, alternator fault,Tighten belt, replace alternator,,
Cummins,QSB Series,E2021,Alternator Over Voltage,Faulty regulator,Replace regulator/alternator,,,,
Cummins,QSB Series,E2022,ECM Power Supply Fault,Loose battery cables, blown fuse,Tighten cables, replace fuse,,
Cummins,QSB Series,E2023,ECM Internal Memory Error,Corrupted ECM software,Reflash ECM with OEM tool,,,,
Cummins,QSB Series,E2024,CAN Communication Loss - ECM to Panel,Broken CAN wiring, ECM fault,Inspect wiring, test ECM,,
Cummins,QSB Series,E2025,CAN Communication Loss - ECM to Governor,Governor module failure,Replace governor, test wiring,,,
Cummins,QSB Series,E2026,Engine Overspeed Shutdown,Fuel rack stuck, governor failure,Inspect governor, recalibrate fuel system,,
Cummins,QSB Series,E2027,Engine Underspeed,Low fuel delivery, clogged filters,Replace filters, test fuel delivery,,
Cummins,QSB Series,E2028,Low Fuel Rail Pressure,Clogged filter, weak transfer pump, air in lines,Replace filter, test pump, bleed fuel system
Cummins,QSB Series,E2029,High Fuel Rail Pressure,Injector leak, pressure relief valve stuck,Inspect injectors, replace relief valve, recalibrate ECM,
Cummins,QSB Series,E2030,Fuel Temperature High,Return fuel overheated, cooling failure,Check fuel cooler, replace lines, verify cooling circuit,
Cummins,QSB Series,E2031,Fuel Injector Fault,Open/short circuit, injector internal failure,Replace faulty injector, check harness, test ECM driver,
Cummins,QSB Series,E2032,Coolant Temperature High,Low coolant, blocked radiator, water pump failure,Top coolant, flush radiator, test/replace pump
Cummins,QSB Series,E2033,Coolant Temperature Low,Thermostat stuck open, sensor fault,Replace thermostat, test sensor,,
Cummins,QSB Series,E2034,Coolant Level Low,Leak in hoses or radiator, expansion tank issue,Inspect hoses, pressure test, repair leak,
Cummins,QSB Series,E2035,Oil Pressure Low,Oil leak, worn oil pump, low oil level,Top oil, test/replace oil pump, inspect for leaks
Cummins,QSB Series,E2036,Oil Pressure High,Blocked oil passage, faulty pressure regulator,Flush oil galleries, replace regulator,,
Cummins,QSB Series,E2037,Oil Temperature High,Blocked oil cooler, low oil level,Clean/replace oil cooler, top oil,,
Cummins,QSB Series,E2038,Turbo Boost Low,Air hose leak, turbo wear, actuator fault,Replace hose, service turbo, calibrate actuator
Cummins,QSB Series,E2039,Turbo Overspeed,ECM miscalibration, faulty actuator,Update ECM software, reset actuator,,
Cummins,QSB Series,E2040,Air Filter Restriction,Clogged air filter,Replace air filter, inspect intake,,,
Cummins,QSB Series,E2041,Crankshaft Position Sensor Fault,Sensor damaged, wiring short,Replace sensor, check wiring harness,,
Cummins,QSB Series,E2042,Camshaft Position Sensor Fault,Loose timing, failed sensor,Reset timing, replace sensor,,
Cummins,QSB Series,E2043,Manifold Pressure Sensor Fault,Short circuit, contamination,Clean/replace sensor, test wiring,,
Cummins,QSB Series,E2044,Exhaust Temperature High,Over-fueling, blocked DPF, restricted exhaust,Check injectors, clean/replace DPF, inspect exhaust
Cummins,QSB Series,E2045,EGR Valve Fault,Carbon buildup, valve stuck,Clean or replace EGR valve,,,
Cummins,QSB Series,E2046,DPF High Soot Load,Failed regeneration, excessive idling,Perform forced regen, check sensors,,
Cummins,QSB Series,E2047,Alternator Under Voltage,Loose belt, alternator fault,Tighten belt, replace alternator,,
Cummins,QSB Series,E2048,Alternator Over Voltage,Faulty regulator,Replace regulator/alternator,,,,
Cummins,QSB Series,E2049,ECM Power Supply Fault,Loose battery cables, blown fuse,Tighten cables, replace fuse,,
Cummins,QSB Series,E2050,ECM Internal Memory Error,Corrupted ECM software,Reflash ECM with OEM tool,,,,
Cummins,QSB Series,E2051,CAN Communication Loss - ECM to Panel,Broken CAN wiring, ECM fault,Inspect wiring, test ECM,,
Cummins,QSB Series,E2052,CAN Communication Loss - ECM to Governor,Governor module failure,Replace governor, test wiring,,,
Cummins,QSB Series,E2053,Engine Overspeed Shutdown,Fuel rack stuck, governor failure,Inspect governor, recalibrate fuel system,,
Cummins,QSB Series,E2054,Engine Underspeed,Low fuel delivery, clogged filters,Replace filters, test fuel delivery,,
Cummins,QSB Series,E2055,Low Fuel Rail Pressure,Clogged filter, weak transfer pump, air in lines,Replace filter, test pump, bleed fuel system
Cummins,QSB Series,E2056,High Fuel Rail Pressure,Injector leak, pressure relief valve stuck,Inspect injectors, replace relief valve, recalibrate ECM,
Cummins,QSB Series,E2057,Fuel Temperature High,Return fuel overheated, cooling failure,Check fuel cooler, replace lines, verify cooling circuit,
Cummins,QSB Series,E2058,Fuel Injector Fault,Open/short circuit, injector internal failure,Replace faulty injector, check harness, test ECM driver,
Cummins,QSB Series,E2059,Coolant Temperature High,Low coolant, blocked radiator, water pump failure,Top coolant, flush radiator, test/replace pump
Cummins,QSB Series,E2060,Coolant Temperature Low,Thermostat stuck open, sensor fault,Replace thermostat, test sensor,,
Cummins,QSB Series,E2061,Coolant Level Low,Leak in hoses or radiator, expansion tank issue,Inspect hoses, pressure test, repair leak,
